config,median,mean,std
10-slot-40MHz,18.75,18.315,2.216256512521267
20-slot-40MHz,9.12,9.3648,1.1258401845786654
5-slot-20MHz,15.1,14.860999999999999,1.8719565198265722
5-slot-40MHz,37.3,36.24,4.577812101469832
