config,median,mean,std
10-slot-40MHz,110.0,99.182,23.64245188877692
20-slot-40MHz,101.0,91.447,20.99061096025669
5-slot-20MHz,43.9,40.402,7.661025328956241
5-slot-40MHz,98.9,89.48700000000001,21.170289143614514
